Model,feature,importance
Rf,f,0.34030897471715704
Rf,U_infinity,0.058758432021792685
Rf,f_delta,0.3365353755317628
Rf,delta_squared,0.06725442543992646
Rf,alpha_squared,0.029093820465715882
Rf,alpha_delta_pc1,0.06403601284523623
Rf,c_0.0254,0.03240495798929819
Rf,c_0.0508,0.013996874656862036
Rf,c_0.1016,0.034334428495109294
Rf,c_0.1524,0.01049888896583903
Rf,c_0.2286,0.007347444252937033
Rf,c_0.3048,0.00543036461836339
Xgb,f,0.08769682049751282
Xgb,U_infinity,0.021932683885097504
Xgb,f_delta,0.03930474817752838
Xgb,delta_squared,0.03406918793916702
Xgb,alpha_squared,0.04505245015025139
Xgb,alpha_delta_pc1,0.030529305338859558
Xgb,c_0.0254,0.5192668437957764
Xgb,c_0.0508,0.0349704883992672
Xgb,c_0.1016,0.11356475949287415
Xgb,c_0.1524,0.013337856158614159
Xgb,c_0.2286,0.012945186346769333
Xgb,c_0.3048,0.04732971265912056
