Model,feature,importance
Rf,Glazing Area,0.13387237658372003
Rf,Glazing Area Distribution_0,0.010748029351060104
Rf,Glazing_x_GlazingDist,0.018907051634803357
Rf,Glazing_x_Orientation,0.017948108425900226
Rf,Height_to_Wall_Ratio,0.12294203082102649
Rf,Relative Compactness,0.14837025743276994
Rf,Roof Area,0.10037171753691855
Rf,Surface_to_Volume_Ratio,0.10827801852087215
Rf,Surface_x_Compactness,0.03376542745630103
Rf,Volume,0.12971930859818742
Rf,Wall Area,0.041137391941193896
Rf,Wall_to_Roof_Ratio,0.13394028169724684
Xgb,Glazing Area,0.02312665991485119
Xgb,Glazing Area Distribution_0,0.03763975203037262
Xgb,Glazing_x_GlazingDist,0.001114851562306285
Xgb,Glazing_x_Orientation,0.003744694637134671
Xgb,Height_to_Wall_Ratio,0.2590159475803375
Xgb,Relative Compactness,0.4900016188621521
Xgb,Roof Area,0.016302019357681274
Xgb,Surface_to_Volume_Ratio,0.0
Xgb,Surface_x_Compactness,0.0052652135491371155
Xgb,Volume,0.06991957873106003
Xgb,Wall Area,0.0016215131618082523
Xgb,Wall_to_Roof_Ratio,0.09224817156791687
