Dataset,Model,feature,importance,Rank
regression,Rf,feature_8,0.3238710235177992,1
regression,Rf,feature_3,0.21216919221127825,2
regression,Rf,feature_4,0.21158823991351577,3
regression,Rf,feature_7,0.16598321373021696,4
regression,Rf,feature_5,0.034136068250754464,5
regression,Rf,feature_0,0.013670551890914106,6
regression,Rf,feature_2,0.013483172163733187,7
regression,Rf,feature_6,0.013387024466976155,8
regression,Rf,feature_1,0.011711513854811912,9
regression,Xgb,feature_8,0.2970006465911865,1
regression,Xgb,feature_4,0.2066308706998825,2
regression,Xgb,feature_7,0.20247158408164978,3
regression,Xgb,feature_3,0.20096567273139954,4
regression,Xgb,feature_5,0.06724026799201965,5
regression,Xgb,feature_2,0.012547182850539684,6
regression,Xgb,feature_0,0.00588676193729043,7
regression,Xgb,feature_6,0.005121502093970776,8
regression,Xgb,feature_1,0.002135542221367359,9
friedman1,Rf,feature_3,0.3042424611462663,1
friedman1,Rf,feature_0*feature_1,0.2858912884649171,2
friedman1,Rf,feature_4,0.1192804214429031,3
friedman1,Rf,feature_2**2-feature_2,0.10396911483615388,4
friedman1,Rf,feature_0,0.07208104265559935,5
friedman1,Rf,feature_1,0.06805020605101021,6
friedman1,Rf,feature_2**2,0.04648546540315001,7
friedman1,Xgb,feature_3,0.33696162700653076,1
friedman1,Xgb,feature_0*feature_1,0.2569570243358612,2
friedman1,Xgb,feature_4,0.10393765568733215,3
friedman1,Xgb,feature_1,0.09308406710624695,4
friedman1,Xgb,feature_0,0.09301988780498505,5
friedman1,Xgb,feature_2**2-feature_2,0.0826491042971611,6
friedman1,Xgb,feature_2**2,0.033390603959560394,7
friedman3,Rf,feature_1*feature_2,0.4887414701069847,1
friedman3,Rf,feature_0,0.14541300663925247,2
friedman3,Rf,feature_2**2,0.09755336648009055,3
friedman3,Rf,feature_2_bin,0.09624065534565653,4
friedman3,Rf,feature_2,0.0898524135558461,5
friedman3,Rf,feature_1**2,0.04261824890687515,6
friedman3,Rf,feature_1,0.03958083896529456,7
friedman3,Xgb,feature_2,0.24091875553131104,1
friedman3,Xgb,feature_2_bin,0.16810975968837738,2
friedman3,Xgb,feature_0,0.16385315358638763,3
friedman3,Xgb,feature_2**2,0.10400745272636414,4
friedman3,Xgb,feature_1,0.09331181645393372,5
friedman3,Xgb,feature_1*feature_2,0.09161092340946198,6
friedman3,Xgb,feature_1**2,0.08551688492298126,7
friedman3,Xgb,feature_2_high,0.05267117917537689,8
california_housing,Rf,MedInc,0.20220546642421275,1
california_housing,Rf,MedInc_sq,0.1988553840670643,2
california_housing,Rf,AveOccup,0.12670269883222865,3
california_housing,Rf,Geo1,0.11926266879759997,4
california_housing,Rf,MedInc_x_RoomsPC,0.0841329902383148,5
california_housing,Rf,HouseAge,0.062279259398473674,6
california_housing,Rf,MedInc_bin,0.06062754415612459,7
california_housing,Rf,RoomsPC,0.05120994386762065,8
california_housing,Rf,HouseholdDensity,0.03817040525296242,9
california_housing,Rf,Population,0.034151927273358675,10
california_housing,Rf,HouseAge_bin,0.016845941071189058,11
california_housing,Rf,Region_2,0.0018538701314332634,12
california_housing,Rf,Region_0,0.0018065757182634105,13
california_housing,Rf,AveBedrms_outlier,0.0006518731378048554,14
california_housing,Rf,AveRooms_outlier,0.0005334190166064299,15
california_housing,Rf,Population_outlier,0.00038676547898483136,16
california_housing,Rf,Region_1,0.0003232671377577615,17
california_housing,Xgb,MedInc_bin,0.4560873210430145,1
california_housing,Xgb,MedInc_sq,0.12369555979967117,2
california_housing,Xgb,MedInc,0.11699005961418152,3
california_housing,Xgb,HouseAge_bin,0.04273664951324463,4
california_housing,Xgb,AveOccup,0.041677962988615036,5
california_housing,Xgb,MedInc_x_RoomsPC,0.03183857351541519,6
california_housing,Xgb,Geo1,0.029262512922286987,7
california_housing,Xgb,Region_0,0.024601226672530174,8
california_housing,Xgb,HouseAge,0.024550076574087143,9
california_housing,Xgb,AveRooms_outlier,0.017302406951785088,10
california_housing,Xgb,RoomsPC,0.01606438308954239,11
california_housing,Xgb,AveBedrms_outlier,0.014914487488567829,12
california_housing,Xgb,Region_2,0.014786734245717525,13
california_housing,Xgb,HouseholdDensity,0.014475359581410885,14
california_housing,Xgb,Population_outlier,0.013577292673289776,15
california_housing,Xgb,Population,0.011836031451821327,16
california_housing,Xgb,Region_1,0.005603297147899866,17
airfoil_self_noise,Rf,f,0.34030897471715704,1
airfoil_self_noise,Rf,f_delta,0.3365353755317628,2
airfoil_self_noise,Rf,delta_squared,0.06725442543992646,3
airfoil_self_noise,Rf,alpha_delta_pc1,0.06403601284523623,4
airfoil_self_noise,Rf,U_infinity,0.058758432021792685,5
airfoil_self_noise,Rf,c_0.1016,0.034334428495109294,6
airfoil_self_noise,Rf,c_0.0254,0.03240495798929819,7
airfoil_self_noise,Rf,alpha_squared,0.029093820465715882,8
airfoil_self_noise,Rf,c_0.0508,0.013996874656862036,9
airfoil_self_noise,Rf,c_0.1524,0.01049888896583903,10
airfoil_self_noise,Rf,c_0.2286,0.007347444252937033,11
airfoil_self_noise,Rf,c_0.3048,0.00543036461836339,12
airfoil_self_noise,Xgb,c_0.0254,0.5192668437957764,1
airfoil_self_noise,Xgb,c_0.1016,0.11356475949287415,2
airfoil_self_noise,Xgb,f,0.08769682049751282,3
airfoil_self_noise,Xgb,c_0.3048,0.04732971265912056,4
airfoil_self_noise,Xgb,alpha_squared,0.04505245015025139,5
airfoil_self_noise,Xgb,f_delta,0.03930474817752838,6
airfoil_self_noise,Xgb,c_0.0508,0.0349704883992672,7
airfoil_self_noise,Xgb,delta_squared,0.03406918793916702,8
airfoil_self_noise,Xgb,alpha_delta_pc1,0.030529305338859558,9
airfoil_self_noise,Xgb,U_infinity,0.021932683885097504,10
airfoil_self_noise,Xgb,c_0.1524,0.013337856158614159,11
airfoil_self_noise,Xgb,c_0.2286,0.012945186346769333,12
energy_efficiency,Rf,Relative Compactness,0.14837025743276994,1
energy_efficiency,Rf,Wall_to_Roof_Ratio,0.13394028169724684,2
energy_efficiency,Rf,Glazing Area,0.13387237658372003,3
energy_efficiency,Rf,Volume,0.12971930859818742,4
energy_efficiency,Rf,Height_to_Wall_Ratio,0.12294203082102649,5
energy_efficiency,Rf,Surface_to_Volume_Ratio,0.10827801852087215,6
energy_efficiency,Rf,Roof Area,0.10037171753691855,7
energy_efficiency,Rf,Wall Area,0.041137391941193896,8
energy_efficiency,Rf,Surface_x_Compactness,0.03376542745630103,9
energy_efficiency,Rf,Glazing_x_GlazingDist,0.018907051634803357,10
energy_efficiency,Rf,Glazing_x_Orientation,0.017948108425900226,11
energy_efficiency,Rf,Glazing Area Distribution_0,0.010748029351060104,12
energy_efficiency,Xgb,Relative Compactness,0.4900016188621521,1
energy_efficiency,Xgb,Height_to_Wall_Ratio,0.2590159475803375,2
energy_efficiency,Xgb,Wall_to_Roof_Ratio,0.09224817156791687,3
energy_efficiency,Xgb,Volume,0.06991957873106003,4
energy_efficiency,Xgb,Glazing Area Distribution_0,0.03763975203037262,5
energy_efficiency,Xgb,Glazing Area,0.02312665991485119,6
energy_efficiency,Xgb,Roof Area,0.016302019357681274,7
energy_efficiency,Xgb,Surface_x_Compactness,0.0052652135491371155,8
energy_efficiency,Xgb,Glazing_x_Orientation,0.003744694637134671,9
energy_efficiency,Xgb,Wall Area,0.0016215131618082523,10
energy_efficiency,Xgb,Glazing_x_GlazingDist,0.001114851562306285,11
energy_efficiency,Xgb,Surface_to_Volume_Ratio,0.0,12
