Model,feature,importance
Rf,feature_0,0.14541300663925247
Rf,feature_1,0.03958083896529456
Rf,feature_1**2,0.04261824890687515
Rf,feature_1*feature_2,0.4887414701069847
Rf,feature_2,0.0898524135558461
Rf,feature_2**2,0.09755336648009055
Rf,feature_2_bin,0.09624065534565653
Xgb,feature_0,0.16385315358638763
Xgb,feature_1,0.09331181645393372
Xgb,feature_1**2,0.08551688492298126
Xgb,feature_1*feature_2,0.09161092340946198
Xgb,feature_2,0.24091875553131104
Xgb,feature_2**2,0.10400745272636414
Xgb,feature_2_bin,0.16810975968837738
Xgb,feature_2_high,0.05267117917537689
