Model,feature,importance
Rf,feature_0,0.013670551890914106
Rf,feature_1,0.011711513854811912
Rf,feature_2,0.013483172163733187
Rf,feature_3,0.21216919221127825
Rf,feature_4,0.21158823991351577
Rf,feature_5,0.034136068250754464
Rf,feature_6,0.013387024466976155
Rf,feature_7,0.16598321373021696
Rf,feature_8,0.3238710235177992
Xgb,feature_0,0.00588676193729043
Xgb,feature_1,0.002135542221367359
Xgb,feature_2,0.012547182850539684
Xgb,feature_3,0.20096567273139954
Xgb,feature_4,0.2066308706998825
Xgb,feature_5,0.06724026799201965
Xgb,feature_6,0.005121502093970776
Xgb,feature_7,0.20247158408164978
Xgb,feature_8,0.2970006465911865
